"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
nan,nan,nan,nan,-1.398,0,0,0.102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.396,0,0,0.104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.394,0,0,0.106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.392,0,0,0.108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.39,0,0,0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.388,0,0,0.112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.386,0,0,0.114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.384,0,0,0.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.382,0,0,0.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.38,0,0,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.378,0,0,0.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.376,0,0,0.124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.374,0,0,0.126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.372,0,0,0.128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.37,0,0,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.368,0,0,0.132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.366,0,0,0.134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.364,0,0,0.136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.362,0,0,0.138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.36,0,0,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.358,0,0,0.142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.356,0,0,0.144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.354,0,0,0.146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.352,0,0,0.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.35,0,0,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.348,0,0,0.152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.346,0,0,0.154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.344,0,0,0.156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.342,0,0,0.158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.34,0,0,0.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.338,0,0,0.162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.336,0,0,0.164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.334,0,0,0.166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.332,0,0,0.168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.33,0,0,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.328,0,0,0.172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.326,0,0,0.174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.324,0,0,0.176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.322,0,0,0.178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.32,0,0,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.318,0,0,0.182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.316,0,0,0.184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.314,0,0,0.186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.312,0,0,0.188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.31,0,0,0.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.308,0,0,0.192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.306,0,0,0.194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.304,0,0,0.196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.302,0,0,0.198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.3,0,0,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.298,0,0,0.202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.296,0,0,0.204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.294,0,0,0.206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.292,0,0,0.208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.29,0,0,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.288,0,0,0.212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.286,0,0,0.214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.284,0,0,0.216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.282,0,0,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.28,0,0,0.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.278,0,0,0.222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.276,0,0,0.224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.274,0,0,0.226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.272,0,0,0.228,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.27,0,0,0.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.268,0,0,0.232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.266,0,0,0.234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.264,0,0,0.236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.262,0,0,0.238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.26,0,0,0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.258,0,0,0.242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.256,0,0,0.244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.254,0,0,0.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.252,0,0,0.248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.25,0,0,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.248,0,0,0.252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.246,0,0,0.254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.244,0,0,0.256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.242,0,0,0.258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.24,0,0,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.238,0,0,0.262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,-1.236,0,0,0.264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
