"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.10905,0.12434,0.085367,0.32041,-1,0,0,0,0.33089,0.36694,-0.0017739,0.4894,0.49235,0.03634,-0.17958,-0.021855,0.12157,-0.0076519,-0.0012665,1
0.10905,0.12434,0.085367,0.32041,-0.999,0,0,0.00099999,0.33089,0.36694,-0.0017739,0.4894,0.49235,0.03634,-0.17958,-0.021855,0.12157,-0.0076519,-0.0012665,1
0.12468,0.1491,0.086628,0.43607,-0.998,0,0,0.002,0.32973,0.36602,0.00083689,0.48908,0.49175,0.032988,-0.18945,-0.024504,0.1145,-0.0053013,-0.0016864,1
0.12468,0.1491,0.086628,0.43607,-0.997,0,0,0.003,0.32973,0.36602,0.00083689,0.48908,0.49175,0.032988,-0.18945,-0.024504,0.1145,-0.0053013,-0.0016864,1
0.12941,0.15203,0.087528,0.4554,-0.996,0,0,0.004,0.33035,0.36582,0.0010561,0.4877,0.49138,0.025939,-0.19703,-0.035847,0.111,-0.0044017,-0.0019433,1
0.12941,0.15203,0.087528,0.4554,-0.995,0,0,0.005,0.33035,0.36582,0.0010561,0.4877,0.49138,0.025939,-0.19703,-0.035847,0.111,-0.0044017,-0.0019433,1
0.12403,0.13733,0.08809,0.3887,-0.994,0,0,0.006,0.33241,0.36615,-8.6238e-05,0.48626,0.4913,0.015533,-0.20248,-0.053801,0.11042,-0.0044293,-0.0020204,1
0.12403,0.13733,0.08809,0.3887,-0.993,0,0,0.007,0.33241,0.36615,-8.6238e-05,0.48626,0.4913,0.015533,-0.20248,-0.053801,0.11042,-0.0044293,-0.0020204,1
0.10929,0.1092,0.088336,0.27022,-0.992,0,0,0.008,0.33553,0.36683,-0.0015602,0.48579,0.49155,0.0021085,-0.206,-0.076283,0.1121,-0.0048603,-0.0019008,1
0.10929,0.1092,0.088336,0.27022,-0.991,0,0,0.009,0.33553,0.36683,-0.0015602,0.48579,0.49155,0.0021085,-0.206,-0.076283,0.1121,-0.0048603,-0.0019008,1
0.086004,0.071852,0.08829,0.14225,-0.99,0,0,0.01,0.33937,0.36767,-0.0023358,0.48731,0.49221,-0.013996,-0.20775,-0.10121,0.11539,-0.0051706,-0.0015676,1
0.086004,0.071852,0.08829,0.14225,-0.989,0,0,0.011,0.33937,0.36767,-0.0023358,0.48731,0.49221,-0.013996,-0.20775,-0.10121,0.11539,-0.0051706,-0.0015676,1
0.054933,0.029485,0.087973,0.044184,-0.988,0,0,0.012,0.34356,0.36849,-0.001383,0.49183,0.49333,-0.03244,-0.20794,-0.1265,0.11962,-0.0048366,-0.001004,1
0.054933,0.029485,0.087973,0.044184,-0.987,0,0,0.013,0.34356,0.36849,-0.001383,0.49183,0.49333,-0.03244,-0.20794,-0.1265,0.11962,-0.0048366,-0.001004,1
0.016861,-0.013699,0.087409,0.0053997,-0.986,0,0,0.014,0.34775,0.36909,0.0023282,0.50037,0.49495,-0.052886,-0.20672,-0.15006,0.12414,-0.0033342,-0.00019305,1
0.016861,-0.013699,0.087409,0.0053997,-0.985,0,0,0.015,0.34775,0.36909,0.0023282,0.50037,0.49495,-0.052886,-0.20672,-0.15006,0.12414,-0.0033342,-0.00019305,1
-0.008379,-0.023687,0.08731,0.0072307,-0.984,0,0,0.016,0.34708,0.36811,-0.0018807,0.50194,0.49496,-0.062343,-0.20127,-0.1609,0.1248,-0.0010056,0.0010403,1
-0.008379,-0.023687,0.08731,0.0072307,-0.983,0,0,0.017,0.34708,0.36811,-0.0018807,0.50194,0.49496,-0.062343,-0.20127,-0.1609,0.1248,-0.0010056,0.0010403,1
-0.005159,-0.0061663,0.088264,0.00073232,-0.982,0,0,0.018,0.34701,0.3666,0.0013496,0.50015,0.49391,-0.06546,-0.19923,-0.15417,0.12731,-0.00039534,0.0021384,1
-0.005159,-0.0061663,0.088264,0.00073232,-0.981,0,0,0.019,0.34701,0.3666,0.0013496,0.50015,0.49391,-0.06546,-0.19923,-0.15417,0.12731,-0.00039534,0.0021384,1
0.01218,0.011645,0.089206,0.0031833,-0.98,0,0,0.02,0.34653,0.36515,0.0018975,0.49995,0.49283,-0.061353,-0.19778,-0.1396,0.1335,-0.001072,0.0028498,1
0.01218,0.011645,0.089206,0.0031833,-0.979,0,0,0.021,0.34653,0.36515,0.0018975,0.49995,0.49283,-0.061353,-0.19778,-0.1396,0.1335,-0.001072,0.0028498,1
0.037353,0.028331,0.089968,0.02443,-0.978,0,0,0.022,0.3458,0.3638,0.0008269,0.50053,0.49174,-0.052174,-0.19703,-0.12023,0.1419,-0.0024058,0.0031748,1
0.037353,0.028331,0.089968,0.02443,-0.977,0,0,0.023,0.3458,0.3638,0.0008269,0.50053,0.49174,-0.052174,-0.19703,-0.12023,0.1419,-0.0024058,0.0031748,1
0.064075,0.042476,0.090382,0.065387,-0.976,0,0,0.024,0.34495,0.3626,-0.00079831,0.50108,0.4907,-0.040073,-0.19711,-0.099085,0.15108,-0.0037671,0.0031138,1
0.064075,0.042476,0.090382,0.065387,-0.975,0,0,0.025,0.34495,0.3626,-0.00079831,0.50108,0.4907,-0.040073,-0.19711,-0.099085,0.15108,-0.0037671,0.0031138,1
0.086061,0.052663,0.090283,0.11275,-0.974,0,0,0.026,0.34412,0.36157,-0.0019142,0.5008,0.48973,-0.027201,-0.19813,-0.079201,0.15957,-0.0045262,0.002667,1
0.086061,0.052663,0.090283,0.11275,-0.973,0,0,0.027,0.34412,0.36157,-0.0019142,0.5008,0.48973,-0.027201,-0.19813,-0.079201,0.15957,-0.0045262,0.002667,1
0.097026,0.057477,0.089504,0.14209,-0.972,0,0,0.028,0.34345,0.36076,-0.001457,0.49886,0.48887,-0.01571,-0.20021,-0.063612,0.16592,-0.0040535,0.0018347,1
0.097026,0.057477,0.089504,0.14209,-0.971,0,0,0.029,0.34345,0.36076,-0.001457,0.49886,0.48887,-0.01571,-0.20021,-0.063612,0.16592,-0.0040535,0.0018347,1
0.090684,0.055502,0.087878,0.12863,-0.97,0,0,0.03,0.34309,0.36021,0.0016373,0.49447,0.48816,-0.0077511,-0.20347,-0.055352,0.16867,-0.0017191,0.00061712,1
0.090684,0.055502,0.087878,0.12863,-0.969,0,0,0.031,0.34309,0.36021,0.0016373,0.49447,0.48816,-0.0077511,-0.20347,-0.055352,0.16867,-0.0017191,0.00061712,1
0.076572,0.034913,0.087936,0.080537,-0.968,0,0,0.032,0.34341,0.36023,-0.0014307,0.49187,0.48789,-0.0045987,-0.20746,-0.05956,0.17535,0.000237,-5.7576e-06,1
0.076572,0.034913,0.087936,0.080537,-0.967,0,0,0.033,0.34341,0.36023,-0.0014307,0.49187,0.48789,-0.0045987,-0.20746,-0.05956,0.17535,0.000237,-5.7576e-06,1
0.068135,0.013393,0.088858,0.054264,-0.966,0,0,0.034,0.34323,0.36049,0.00047158,0.49273,0.488,-0.0022258,-0.20887,-0.065815,0.18575,-0.0005232,-0.00040201,1
0.068135,0.013393,0.088858,0.054264,-0.965,0,0,0.035,0.34323,0.36049,0.00047158,0.49273,0.488,-0.0022258,-0.20887,-0.065815,0.18575,-0.0005232,-0.00040201,1
0.060608,-0.0016968,0.088374,0.041598,-0.964,0,0,0.036,0.34259,0.36036,0.0010914,0.49332,0.48785,-0.0014887,-0.20912,-0.072818,0.1937,-0.0011701,-0.00077919,1
0.060608,-0.0016968,0.088374,0.041598,-0.963,0,0,0.037,0.34259,0.36036,0.0010914,0.49332,0.48785,-0.0014887,-0.20912,-0.072818,0.1937,-0.0011701,-0.00077919,1
0.053951,-0.011723,0.087066,0.035009,-0.962,0,0,0.038,0.34167,0.35995,0.00087912,0.49363,0.48746,-0.002694,-0.20799,-0.080824,0.19991,-0.001633,-0.0010483,1
0.053951,-0.011723,0.087066,0.035009,-0.961,0,0,0.039,0.34167,0.35995,0.00087912,0.49363,0.48746,-0.002694,-0.20799,-0.080824,0.19991,-0.001633,-0.0010483,1
0.048125,-0.018054,0.085513,0.030896,-0.96,0,0,0.04,0.34064,0.35936,0.00028481,0.49364,0.48685,-0.0061483,-0.20525,-0.090089,0.20507,-0.0018408,-0.0011202,1
