"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.50896,0.3194,0.067365,5.3598,-1,0,0,0,0.20852,0.31325,0.0025249,0.31575,0.45105,-0.021551,0.042463,-0.036111,0.061666,0.0064606,-0.0033514,1
0.50896,0.3194,0.067365,5.3598,-0.999,0,0,0.00099999,0.20852,0.31325,0.0025249,0.31575,0.45105,-0.021551,0.042463,-0.036111,0.061666,0.0064606,-0.0033514,1
0.52157,0.32063,0.068544,5.4685,-0.998,0,0,0.002,0.20396,0.31178,0.0050228,0.31349,0.4541,-0.046833,0.064743,-0.047171,0.067522,0.0058032,0.00097763,1
0.52157,0.32063,0.068544,5.4685,-0.997,0,0,0.003,0.20396,0.31178,0.0050228,0.31349,0.4541,-0.046833,0.064743,-0.047171,0.067522,0.0058032,0.00097763,1
0.52931,0.31725,0.06998,5.4418,-0.996,0,0,0.004,0.20139,0.31136,0.0049824,0.30827,0.45486,-0.050342,0.048203,-0.044795,0.050607,0.0052231,0.0038735,1
0.52931,0.31725,0.06998,5.4418,-0.995,0,0,0.005,0.20139,0.31136,0.0049824,0.30827,0.45486,-0.050342,0.048203,-0.044795,0.050607,0.0052231,0.0038735,1
0.53103,0.31016,0.071629,5.2799,-0.994,0,0,0.006,0.20106,0.31189,0.0033669,0.30299,0.45428,-0.041382,0.0063489,-0.036373,0.021513,0.0048869,0.0054031,1
0.53103,0.31016,0.071629,5.2799,-0.993,0,0,0.007,0.20106,0.31189,0.0033669,0.30299,0.45428,-0.041382,0.0063489,-0.036373,0.021513,0.0048869,0.0054031,1
0.52557,0.30022,0.073447,4.988,-0.992,0,0,0.008,0.20325,0.31324,0.0011391,0.30051,0.45332,-0.029257,-0.04731,-0.029294,-0.0091654,0.0049613,0.0056335,1
0.52557,0.30022,0.073447,4.988,-0.991,0,0,0.009,0.20325,0.31324,0.0011391,0.30051,0.45332,-0.029257,-0.04731,-0.029294,-0.0091654,0.0049613,0.0056335,1
0.51177,0.28831,0.075391,4.5765,-0.99,0,0,0.01,0.20822,0.31529,-0.00073786,0.30372,0.45292,-0.023271,-0.099267,-0.030949,-0.030834,0.0056129,0.0046315,1
0.51177,0.28831,0.075391,4.5765,-0.989,0,0,0.011,0.20822,0.31529,-0.00073786,0.30372,0.45292,-0.023271,-0.099267,-0.030949,-0.030834,0.0056129,0.0046315,1
0.48846,0.2753,0.077417,4.061,-0.988,0,0,0.012,0.21622,0.31794,-0.0013009,0.31549,0.45404,-0.03273,-0.13601,-0.048727,-0.032901,0.0070085,0.0024641,1
0.48846,0.2753,0.077417,4.061,-0.987,0,0,0.013,0.21622,0.31794,-0.0013009,0.31549,0.45404,-0.03273,-0.13601,-0.048727,-0.032901,0.0070085,0.0024641,1
0.4545,0.26208,0.079481,3.4631,-0.986,0,0,0.014,0.22751,0.32106,0.00041296,0.33871,0.45764,-0.066937,-0.14404,-0.090018,-0.0047701,0.0093145,-0.00080179,1
0.4545,0.26208,0.079481,3.4631,-0.985,0,0,0.015,0.22751,0.32106,0.00041296,0.33871,0.45764,-0.066937,-0.14404,-0.090018,-0.0047701,0.0093145,-0.00080179,1
0.41706,0.24044,0.081379,2.8478,-0.984,0,0,0.016,0.24245,0.32971,-0.0023943,0.35547,0.46667,-0.1203,-0.12154,-0.13715,0.032108,0.0083976,-0.0041139,1
0.41706,0.24044,0.081379,2.8478,-0.983,0,0,0.017,0.24245,0.32971,-0.0023943,0.35547,0.46667,-0.1203,-0.12154,-0.13715,0.032108,0.0083976,-0.0041139,1
