"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
-0.11565,0.070812,0.084257,0.21825,-1,0,0,0,0.29732,0.39022,-0.00039899,0.47761,0.51008,-0.0053567,-0.0045992,0.0072355,-0.012498,0.0017673,0.0033981,1
-0.11565,0.070812,0.084257,0.21825,-0.999,0,0,0.00099999,0.29732,0.39022,-0.00039899,0.47761,0.51008,-0.0053567,-0.0045992,0.0072355,-0.012498,0.0017673,0.0033981,1
-0.11374,0.075233,0.085506,0.21749,-0.998,0,0,0.002,0.29793,0.38949,-0.00014495,0.47939,0.51336,-0.0089243,-0.014424,0.027448,-0.024531,0.0037382,0.0086449,1
-0.11374,0.075233,0.085506,0.21749,-0.997,0,0,0.003,0.29793,0.38949,-0.00014495,0.47939,0.51336,-0.0089243,-0.014424,0.027448,-0.024531,0.0037382,0.0086449,1
-0.11298,0.078152,0.086473,0.21823,-0.996,0,0,0.004,0.29779,0.38902,7.111e-05,0.47943,0.51528,-0.018111,-0.027179,0.05133,-0.027285,0.0062737,0.010046,1
-0.11298,0.078152,0.086473,0.21823,-0.995,0,0,0.005,0.29779,0.38902,7.111e-05,0.47943,0.51528,-0.018111,-0.027179,0.05133,-0.027285,0.0062737,0.010046,1
-0.11284,0.079128,0.087042,0.21821,-0.994,0,0,0.006,0.29728,0.38871,0.00022661,0.47807,0.51616,-0.031887,-0.040467,0.07706,-0.021007,0.0087522,0.0088817,1
-0.11284,0.079128,0.087042,0.21821,-0.993,0,0,0.007,0.29728,0.38871,0.00022661,0.47807,0.51616,-0.031887,-0.040467,0.07706,-0.021007,0.0087522,0.0088817,1
-0.11281,0.077718,0.087099,0.21545,-0.992,0,0,0.008,0.29678,0.38844,0.00029899,0.47569,0.51634,-0.049224,-0.051895,0.10282,-0.0059452,0.010552,0.0064334,1
-0.11281,0.077718,0.087099,0.21545,-0.991,0,0,0.009,0.29678,0.38844,0.00029899,0.47569,0.51634,-0.049224,-0.051895,0.10282,-0.0059452,0.010552,0.0064334,1
-0.11237,0.073478,0.086527,0.20833,-0.99,0,0,0.01,0.29666,0.38812,0.00026568,0.47264,0.51613,-0.069092,-0.059068,0.12677,0.017651,0.011053,0.0039817,1
-0.11237,0.073478,0.086527,0.20833,-0.989,0,0,0.011,0.29666,0.38812,0.00026568,0.47264,0.51613,-0.069092,-0.059068,0.12677,0.017651,0.011053,0.0039817,1
-0.11102,0.065965,0.085211,0.19571,-0.988,0,0,0.012,0.29731,0.38765,0.00010409,0.46928,0.51585,-0.090462,-0.059591,0.14711,0.049534,0.0096324,0.0028073,1
-0.11102,0.065965,0.085211,0.19571,-0.987,0,0,0.013,0.29731,0.38765,0.00010409,0.46928,0.51585,-0.090462,-0.059591,0.14711,0.049534,0.0096324,0.0028073,1
-0.10823,0.054737,0.083035,0.17716,-0.986,0,0,0.014,0.29908,0.38691,-0.00020834,0.46598,0.51584,-0.11231,-0.051069,0.16201,0.089456,0.0056693,0.0041911,1
-0.10823,0.054737,0.083035,0.17716,-0.985,0,0,0.015,0.29908,0.38691,-0.00020834,0.46598,0.51584,-0.11231,-0.051069,0.16201,0.089456,0.0056693,0.0041911,1
-0.10569,0.055661,0.083654,0.17058,-0.984,0,0,0.016,0.29658,0.38613,0.00047978,0.46478,0.51633,-0.12245,-0.03672,0.16939,0.096926,0.0030358,0.0065114,1
-0.10569,0.055661,0.083654,0.17058,-0.983,0,0,0.017,0.29658,0.38613,0.00047978,0.46478,0.51633,-0.12245,-0.03672,0.16939,0.096926,0.0030358,0.0065114,1
-0.10712,0.064294,0.087695,0.17798,-0.982,0,0,0.018,0.29681,0.38695,-0.00079637,0.47064,0.51768,-0.11927,-0.027132,0.16901,0.07713,0.0020122,0.0062626,1
-0.10712,0.064294,0.087695,0.17798,-0.981,0,0,0.019,0.29681,0.38695,-0.00079637,0.47064,0.51768,-0.11927,-0.027132,0.16901,0.07713,0.0020122,0.0062626,1
-0.11006,0.070671,0.090267,0.18953,-0.98,0,0,0.02,0.29572,0.38692,-0.0009932,0.47424,0.51755,-0.11339,-0.029578,0.16199,0.061007,-0.00086553,0.0049425,1
-0.11006,0.070671,0.090267,0.18953,-0.979,0,0,0.021,0.29572,0.38692,-0.0009932,0.47424,0.51755,-0.11339,-0.029578,0.16199,0.061007,-0.00086553,0.0049425,1
-0.1144,0.075517,0.09131,0.20578,-0.978,0,0,0.022,0.29384,0.38631,-0.00053546,0.47581,0.51621,-0.10778,-0.04196,0.1527,0.04771,-0.0043047,0.0035507,1
-0.1144,0.075517,0.09131,0.20578,-0.977,0,0,0.023,0.29384,0.38631,-0.00053546,0.47581,0.51621,-0.10778,-0.04196,0.1527,0.04771,-0.0043047,0.0035507,1
-0.11999,0.079557,0.090763,0.22837,-0.976,0,0,0.024,0.29168,0.3854,0.00015209,0.47558,0.51393,-0.10541,-0.062178,0.14549,0.036392,-0.0070129,0.0030865,1
-0.11999,0.079557,0.090763,0.22837,-0.975,0,0,0.025,0.29168,0.3854,0.00015209,0.47558,0.51393,-0.10541,-0.062178,0.14549,0.036392,-0.0070129,0.0030865,1
-0.12671,0.083519,0.088566,0.26004,-0.974,0,0,0.026,0.28974,0.38447,0.0006447,0.47378,0.51099,-0.10923,-0.088136,0.14474,0.026203,-0.0076973,0.0045497,1
-0.12671,0.083519,0.088566,0.26004,-0.973,0,0,0.027,0.28974,0.38447,0.0006447,0.47378,0.51099,-0.10923,-0.088136,0.14474,0.026203,-0.0076973,0.0045497,1
-0.13442,0.088126,0.084656,0.30516,-0.972,0,0,0.028,0.28855,0.38378,0.00051761,0.47065,0.50766,-0.12223,-0.11773,0.15479,0.016298,-0.0050654,0.0089396,1
-0.13442,0.088126,0.084656,0.30516,-0.971,0,0,0.029,0.28855,0.38378,0.00051761,0.47065,0.50766,-0.12223,-0.11773,0.15479,0.016298,-0.0050654,0.0089396,1
-0.14298,0.094105,0.078975,0.371,-0.97,0,0,0.03,0.28861,0.38361,-0.00065394,0.46641,0.50423,-0.14735,-0.14887,0.18002,0.005828,0.0021753,0.017256,1
-0.14298,0.094105,0.078975,0.371,-0.969,0,0,0.031,0.28861,0.38361,-0.00065394,0.46641,0.50423,-0.14735,-0.14887,0.18002,0.005828,0.0021753,0.017256,1
-0.15761,0.097484,0.076394,0.44957,-0.968,0,0,0.032,0.2861,0.38037,0.001254,0.46265,0.50275,-0.1761,-0.16877,0.2109,-0.0066814,0.0032841,0.016683,1
-0.15761,0.097484,0.076394,0.44957,-0.967,0,0,0.033,0.2861,0.38037,0.001254,0.46265,0.50275,-0.1761,-0.16877,0.2109,-0.0066814,0.0032841,0.016683,1
-0.1734,0.097007,0.074722,0.52833,-0.966,0,0,0.034,0.28495,0.3782,-0.00032416,0.46181,0.50358,-0.20141,-0.175,0.22168,-0.013756,-0.00118,0.010772,1
-0.1734,0.097007,0.074722,0.52833,-0.965,0,0,0.035,0.28495,0.3782,-0.00032416,0.46181,0.50358,-0.20141,-0.175,0.22168,-0.013756,-0.00118,0.010772,1
-0.187,0.094459,0.072935,0.60178,-0.964,0,0,0.036,0.28414,0.37691,-0.00090547,0.45999,0.5029,-0.22318,-0.16722,0.22033,-0.01327,-0.004585,0.0073324,1
-0.187,0.094459,0.072935,0.60178,-0.963,0,0,0.037,0.28414,0.37691,-0.00090547,0.45999,0.5029,-0.22318,-0.16722,0.22033,-0.01327,-0.004585,0.0073324,1
-0.19913,0.089483,0.071375,0.66774,-0.962,0,0,0.038,0.28362,0.37627,-0.00082615,0.45804,0.50129,-0.24221,-0.14938,0.20862,-0.0060225,-0.0067779,0.00539,1
-0.19913,0.089483,0.071375,0.66774,-0.961,0,0,0.039,0.28362,0.37627,-0.00082615,0.45804,0.50129,-0.24221,-0.14938,0.20862,-0.0060225,-0.0067779,0.00539,1
