"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.099112,0.049573,0.095636,0.12841,-0.969,0,0,0.031,0.35205,0.41127,-0.00014984,0.55146,0.5533,-0.089054,-0.076572,-0.0058685,-0.010695,-0.0014635,-0.00064846,1
0.093381,0.034122,0.09616,0.10279,-0.968,0,0,0.032,0.35214,0.41129,-0.00032684,0.55178,0.55341,-0.089304,-0.076103,0.013077,0.00027409,-0.0018711,-0.00092888,1
0.093381,0.034122,0.09616,0.10279,-0.967,0,0,0.033,0.35214,0.41129,-0.00032684,0.55178,0.55341,-0.089304,-0.076103,0.013077,0.00027409,-0.0018711,-0.00092888,1
0.085603,0.036539,0.096042,0.0902,-0.966,0,0,0.034,0.35185,0.41105,0.000589,0.54767,0.55201,-0.086226,-0.074628,0.01059,0.00063924,-0.0023124,-0.0013571,1
0.085603,0.036539,0.096042,0.0902,-0.965,0,0,0.035,0.35185,0.41105,0.000589,0.54767,0.55201,-0.086226,-0.074628,0.01059,0.00063924,-0.0023124,-0.0013571,1
0.076105,0.040134,0.095669,0.077379,-0.964,0,0,0.036,0.352,0.41105,0.00095627,0.54721,0.55181,-0.079858,-0.072005,0.0045136,-0.00087758,-0.0018888,-0.0011697,1
0.076105,0.040134,0.095669,0.077379,-0.963,0,0,0.037,0.352,0.41105,0.00095627,0.54721,0.55181,-0.079858,-0.072005,0.0045136,-0.00087758,-0.0018888,-0.0011697,1
0.066306,0.044361,0.095215,0.066842,-0.962,0,0,0.038,0.35241,0.41119,0.00090203,0.54898,0.55234,-0.071991,-0.068941,-0.0032174,-0.0033798,-0.0010335,-0.0006592,1
0.066306,0.044361,0.095215,0.066842,-0.961,0,0,0.039,0.35241,0.41119,0.00090203,0.54898,0.55234,-0.071991,-0.068941,-0.0032174,-0.0033798,-0.0010335,-0.0006592,1
0.057624,0.048674,0.094854,0.059983,-0.96,0,0,0.04,0.3529,0.41138,0.00055335,0.55155,0.55314,-0.064415,-0.066145,-0.01067,-0.0059708,-0.00018007,-0.00011791,1
0.057624,0.048674,0.094854,0.059983,-0.959,0,0,0.041,0.3529,0.41138,0.00055335,0.55155,0.55314,-0.064415,-0.066145,-0.01067,-0.0059708,-0.00018007,-0.00011791,1
0.05148,0.052525,0.094761,0.057081,-0.958,0,0,0.042,0.35332,0.41154,3.7306e-05,0.5535,0.55374,-0.058923,-0.064323,-0.015909,-0.007754,0.00023835,0.00016176,1
0.049292,0.055368,0.095108,0.057781,-0.957,0,0,0.043,0.35349,0.41157,-0.00051904,0.55343,0.55366,-0.057303,-0.064184,-0.017002,-0.0078328,-0.00021161,-0.00011258,1
0.049292,0.055368,0.095108,0.057781,-0.956,0,0,0.044,0.35349,0.41157,-0.00051904,0.55343,0.55366,-0.057303,-0.064184,-0.017002,-0.0078328,-0.00021161,-0.00011258,1
0.05248,0.056658,0.096069,0.062083,-0.955,0,0,0.045,0.35324,0.41138,-0.00098862,0.54991,0.55245,-0.061348,-0.066435,-0.012015,-0.0053106,-0.0019633,-0.0012333,1
0.05248,0.056658,0.096069,0.062083,-0.954,0,0,0.046,0.35324,0.41138,-0.00098862,0.54991,0.55245,-0.061348,-0.066435,-0.012015,-0.0053106,-0.0019633,-0.0012333,1
0.060753,0.050977,0.096974,0.064859,-0.953,0,0,0.047,0.35325,0.41138,-0.00077588,0.54946,0.55239,-0.072234,-0.071792,-0.0037499,-0.00021408,-0.0030451,-0.0017645,1
0.060753,0.050977,0.096974,0.064859,-0.952,0,0,0.048,0.35325,0.41138,-0.00077588,0.54946,0.55239,-0.072234,-0.071792,-0.0037499,-0.00021408,-0.0030451,-0.0017645,1
0.06587,0.043188,0.096659,0.064185,-0.951,0,0,0.049,0.35283,0.41106,-0.00053658,0.55156,0.55294,-0.080846,-0.07639,0.0027162,0.0047445,-0.0023464,-0.0011919,1
0.06587,0.043188,0.096659,0.064185,-0.95,0,0,0.05,0.35283,0.41106,-0.00053658,0.55156,0.55294,-0.080846,-0.07639,0.0027162,0.0047445,-0.0023464,-0.0011919,1
